entity_id,as_of,basis,hedged_pct,fx_policy_pct,naked_pct,equity_pct,cs_ndf_pct_of_risk,fx_risk_pct,foreign_assets_ntd_bn,deck,deck_date,page,source,includes_proxy
taiwan_life,2021-06-30,foreign_investment,40.0,40.0,12.0,8.0,,,,289120210823M001.pdf,2021-08-23,28,text,False
taiwan_life,2021-09-30,foreign_investment,40.0,41.0,11.0,8.0,,,,289120211123M001.pdf,2021-11-23,28,text,False
taiwan_life,2021-12-31,foreign_investment,37.0,41.0,13.0,9.0,,,,289120220331M001.pdf,2022-03-31,30,text,False
taiwan_life,2022-03-31,foreign_investment,35.0,42.0,14.0,9.0,,,,289120220518M001.pdf,2022-05-18,27,text,False
taiwan_life,2022-06-30,foreign_investment,35.0,43.0,12.0,10.0,,,,289120220823M001.pdf,2022-08-23,27,text,False
taiwan_life,2022-09-30,foreign_investment,33.0,43.0,14.0,10.0,,,,289120221118M002.pdf,2022-11-18,27,text,False
taiwan_life,2022-12-31,foreign_investment,30.0,43.0,17.0,10.0,,,,289120230310M002.pdf,2023-03-10,28,text,False
taiwan_life,2023-03-31,foreign_investment,30.0,43.0,17.0,10.0,,,,289120230515M003.pdf,2023-05-15,26,text,False
taiwan_life,2023-06-30,foreign_investment,33.0,43.0,14.0,10.0,,,,289120230818M001.pdf,2023-08-18,26,text,False
taiwan_life,2023-09-30,foreign_investment,33.0,42.0,15.0,11.0,,,,289120231113M001.pdf,2023-11-13,26,text,False
taiwan_life,2023-12-31,foreign_investment,30.0,42.0,18.0,11.0,,,,289120240312M002.pdf,2024-03-12,27,text,False
taiwan_life,2024-03-31,foreign_investment,30.0,41.0,18.0,11.0,,,,289120240531M001.pdf,2024-05-31,26,text,False
taiwan_life,2024-06-30,foreign_investment,27.0,41.0,22.0,10.0,,,,289120240828M001.pdf,2024-08-28,28,text,False
taiwan_life,2024-09-30,foreign_investment,37.0,41.0,12.0,11.0,,,,289120241119M001.pdf,2024-11-19,30,text,False
taiwan_life,2024-12-31,foreign_investment,29.0,41.0,20.0,11.0,,,,289120250318M001.pdf,2025-03-18,31,text,False
taiwan_life,2025-03-31,foreign_investment,27.0,41.0,21.0,12.0,,,,289120250516M001.pdf,2025-05-16,26,text,False
taiwan_life,2025-06-30,foreign_investment,33.0,42.0,16.0,10.0,,,,289120250912M001.pdf,2025-09-12,26,text,False
taiwan_life,2025-09-30,foreign_investment,29.0,42.0,19.0,10.0,,,,289120251117M001.pdf,2025-11-17,26,text,False
taiwan_life,2025-12-31,foreign_investment,31.0,42.0,17.0,9.0,,,,289120260312M001.pdf,2026-03-12,27,text,False
taiwan_life,2026-03-31,foreign_investment,28.0,37.0,30.0,5.0,,,,289120260519M002.pdf,2026-05-19,27,text,False
taiwan_life,2026-06-30,foreign_investment,20.0,38.0,36.0,6.0,,,,289120260818M001.pdf,2026-08-18,28,text,False
