matrix_code,item,sub_item,obs_month,value,unit,vintage
EG51M01,遠期信用狀美金利率（年息）,,1996-06-01,8.5,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1996-07-01,27.46,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1996-07-01,27.56,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1996-07-01,27.516,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1996-07-01,8.5,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1996-08-01,27.42,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1996-08-01,27.52,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1996-08-01,27.472,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1996-08-01,8.5,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1996-09-01,27.44,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1996-09-01,27.54,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1996-09-01,27.483,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1996-09-01,8.5,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1996-10-01,27.51,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1996-10-01,27.61,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1996-10-01,27.538,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1996-10-01,8.4,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1996-11-01,27.44,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1996-11-01,27.54,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1996-11-01,27.487,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1996-11-01,8.4,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1996-12-01,27.44,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1996-12-01,27.54,TWD per USD,2026-08-27
