basis,flows_are_ytd,foreign_investments,obs_month,reporting_channel,retrieved_at,source_doc,source_id,source_note,source_url,total_assets,vintage
disclosed,False,21187253,2022-12-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 111年12月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column year-end),111-12,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202303201103350.pdf&filedisplay=111年12月重要指標_20230314.pdf&flag=doc,33623779,2023-03-20
disclosed,False,21172981,2023-01-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 112年1月保險市場重要指標 表17-1 人身保險業資金運用表 (p.21; current column 2023/01),112-01,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202303241054490.pdf&filedisplay=112年1月重要指標_20230324_Upload.pdf&flag=doc,33838875,2023-03-24
disclosed,False,21200893,2023-02-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 112年2月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2023/02),112-02,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202304261550480.pdf&filedisplay=112年2月重要指標_Upload.pdf&flag=doc,33854353,2023-04-26
disclosed,False,21294310,2023-03-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 112年3月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2023/03),112-03,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202305291048450.pdf&filedisplay=112年3月重要指標_Upload.pdf&flag=doc,33937001,2023-05-29
disclosed,False,21362690,2023-04-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 112年4月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2023/04),112-04,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202307041655330.pdf&filedisplay=112年4月重要指標_20230625_Value.pdf&flag=doc,34149931,2023-07-04
disclosed,False,21401838,2023-05-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 112年5月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2023/05),112-05,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202307241744060.pdf&filedisplay=112年5月重要指標_20230725_Value.pdf&flag=doc,34175175,2023-07-24
disclosed,False,21659472,2023-06-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 112年6月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2023/06),112-06,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202309131015250.pdf&filedisplay=112年6月重要指標_20230906_Value.pdf&flag=doc,34717772,2023-09-13
disclosed,False,21905772,2023-07-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 112年7月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2023/07),112-07,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202309211144350.pdf&filedisplay=112年7月重要指標_20230918_Value.pdf&flag=doc,35140567,2023-09-21
disclosed,False,22057997,2023-08-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 112年8月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2023/08),112-08,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202310251002010.pdf&filedisplay=112年8月重要指標_20231016_Value.pdf&flag=doc,35204008,2023-10-25
disclosed,False,22122340,2023-09-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 112年9月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2023/09),112-09,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202311231016100.pdf&filedisplay=112年9月重要指標_Revised.pdf&flag=doc,35189721,2023-11-23
