obs_month,net_yen_bn,rolling12_yen_bn,source_url,source_doc,vintage
2010-04,477.9,2202.3,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2010-05,550.8,2016.8,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2010-06,138.5,1892.6,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2010-07,484.7,1929.7,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2010-08,1000.4,2760.1,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2010-09,428.4,3032.9,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2010-10,543.1,3409.4,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2010-11,352.6,3978.2,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2010-12,209.8,3726.7,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2011-01,292.1,4408.7,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2011-02,49.0,4826.0,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2011-03,25.0,4552.3,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2011-04,61.3,4135.7,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2011-05,18.0,3602.9,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2011-06,124.6,3589.0,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2011-07,-5.9,3098.4,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2011-08,-550.6,1547.4,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2011-09,-104.7,1014.3,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2011-10,284.0,755.2,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2011-11,-209.3,193.3,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2011-12,-47.2,-63.7,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2012-01,118.9,-236.9,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2012-02,456.0,170.1,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2012-03,87.4,232.5,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2012-04,250.9,422.1,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2012-05,509.8,913.9,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2012-06,792.3,1581.6,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2012-07,227.5,1815.0,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2012-08,491.1,2856.7,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2012-09,105.6,3067.0,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2012-10,427.6,3210.6,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2012-11,137.8,3557.7,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2012-12,15.2,3620.1,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2013-01,-71.7,3429.5,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2013-02,-276.3,2697.2,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2013-03,-84.8,2525.0,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2013-04,437.9,2712.0,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2013-05,-111.1,2091.1,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2013-06,-218.1,1080.7,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2013-07,-24.7,828.5,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2013-08,-151.6,185.8,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2013-09,3.2,83.4,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2013-10,-146.0,-490.2,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2013-11,27.4,-600.6,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2013-12,284.8,-331.0,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
